scenario_id,rule_name,event_id,lot_id,operation_id,operation_seq,tool_id,queue_start_time,start_time,end_time,queue_time,run_time
baseline,FIFO,EVT000049,L0021,L0021_OP003,3,T09,4.6167,5.3833,5.6666,0.7666,0.2833
baseline,FIFO,EVT000050,L0008,L0008_OP001,1,T04,14.0,14.0,15.6333,0.0,1.6333
baseline,FIFO,EVT000051,L0064,L0064_OP001,1,T07,6.0,8.3334,9.0001,2.3334,0.6667
baseline,FIFO,EVT000052,L0012,L0012_OP002,2,T02,4.3333,9.1166,10.7333,4.7833,1.6167
baseline,FIFO,EVT000053,L0006,L0006_OP001,1,T01,10.0,10.0,11.65,0.0,1.65
baseline,FIFO,EVT000054,L0061,L0061_OP003,3,T08,3.55,10.5333,10.75,6.9833,0.2167
baseline,FIFO,EVT000055,L0072,L0072_OP001,1,T14,22.0,22.0,22.5667,0.0,0.5667
baseline,FIFO,EVT000056,L0041,L0041_OP004,4,T13,9.1166,13.2,13.5,4.0834,0.3
baseline,FIFO,EVT000057,L0023,L0023_OP002,2,T00,4.5833,17.5667,17.9334,12.9834,0.3667
baseline,FIFO,EVT000058,L0022,L0022_OP003,3,T12,4.8667,18.5833,18.9166,13.7166,0.3333
baseline,FIFO,EVT000059,L0058,L0058_OP001,1,T11,34.0,34.0,34.3,0.0,0.3
baseline,FIFO,EVT000060,L0064,L0064_OP002,2,T05,9.0001,9.0001,9.3001,0.0,0.3
baseline,FIFO,EVT000061,L0024,L0024_OP001,1,T09,6.0,6.0,6.3333,0.0,0.3333
baseline,FIFO,EVT000062,L0044,L0044_OP002,2,T03,6.3667,6.3667,6.9667,0.0,0.6
baseline,FIFO,EVT000063,L0002,L0002_OP003,3,T06,5.7,8.7001,9.8501,3.0001,1.15
baseline,FIFO,EVT000064,L0045,L0045_OP004,4,T07,9.3666,9.3666,9.5833,0.0,0.2167
baseline,FIFO,EVT000065,L0004,L0004_OP002,2,T02,7.5667,10.7333,11.8666,3.1666,1.1333
baseline,FIFO,EVT000066,L0043,L0043_OP002,2,T08,4.4167,10.75,11.0333,6.3333,0.2833
baseline,FIFO,EVT000067,L0025,L0025_OP003,3,T01,12.7833,12.7833,13.25,0.0,0.4667
baseline,FIFO,EVT000068,L0048,L0048_OP002,2,T13,14.1833,14.1833,14.5833,0.0,0.4
baseline,FIFO,EVT000069,L0021,L0021_OP004,4,T04,5.6666,15.6333,16.0833,9.9667,0.45
baseline,FIFO,EVT000070,L0062,L0062_OP003,3,T00,4.85,17.9334,18.1501,13.0834,0.2167
baseline,FIFO,EVT000071,L0033,L0033_OP001,1,T12,24.0,24.0,24.65,0.0,0.65
baseline,FIFO,EVT000072,L0041,L0041_OP005,5,T10,13.5,20.4667,21.1167,6.9667,0.65
baseline,FIFO,EVT000073,L0053,L0053_OP001,1,T14,24.0,24.0,24.2667,0.0,0.2667
baseline,FIFO,EVT000074,L0022,L0022_OP004,4,T11,18.9166,34.3,34.6167,15.3834,0.3167
baseline,FIFO,EVT000075,L0015,L0015_OP002,2,T09,9.0,9.0,9.3333,0.0,0.3333
baseline,FIFO,EVT000076,L0005,L0005_OP001,1,T03,8.0,8.0,9.15,0.0,1.15
baseline,FIFO,EVT000077,L0011,L0011_OP003,3,T05,9.4,9.4,9.8167,0.0,0.4167
baseline,FIFO,EVT000078,L0007,L0007_OP001,1,T07,12.0,12.0,12.8333,0.0,0.8333
baseline,FIFO,EVT000079,L0024,L0024_OP002,2,T06,6.3333,9.8501,10.3334,3.5168,0.4833
baseline,FIFO,EVT000080,L0003,L0003_OP002,2,T08,5.3833,11.0333,12.05,5.65,1.0167
baseline,FIFO,EVT000081,L0044,L0044_OP003,3,T02,6.9667,11.8666,12.4333,4.8999,0.5667
baseline,FIFO,EVT000082,L0004,L0004_OP003,3,T01,11.8666,13.25,14.2667,1.3834,1.0167
baseline,FIFO,EVT000083,L0029,L0029_OP001,1,T13,16.0,16.0,16.5333,0.0,0.5333
baseline,FIFO,EVT000084,L0064,L0064_OP003,3,T04,9.3001,16.0833,16.2833,6.7832,0.2
baseline,FIFO,EVT000085,L0067,L0067_OP002,2,T00,13.2,18.1501,18.6834,4.9501,0.5333
baseline,FIFO,EVT000086,L0048,L0048_OP003,3,T10,14.5833,21.1167,21.75,6.5334,0.6333
baseline,FIFO,EVT000087,L0057,L0057_OP001,1,T14,32.0,32.0,32.3333,0.0,0.3333
baseline,FIFO,EVT000088,L0038,L0038_OP001,1,T12,34.0,34.0,34.3667,0.0,0.3667
baseline,FIFO,EVT000089,L0043,L0043_OP003,3,T11,11.0333,34.6167,35.0167,23.5834,0.4
baseline,FIFO,EVT000090,L0065,L0065_OP002,2,T03,8.5833,9.15,9.4,0.5667,0.25
baseline,FIFO,EVT000091,L0019,L0019_OP001,1,T09,16.0,16.0,17.1333,0.0,1.1333
baseline,FIFO,EVT000092,L0066,L0066_OP001,1,T05,10.0,10.0,10.55,0.0,0.55
baseline,FIFO,EVT000093,L0001,L0001_OP003,3,T06,10.5333,10.5333,12.1,0.0,1.5667
baseline,FIFO,EVT000094,L0014,L0014_OP002,2,T08,7.4167,12.05,13.3167,4.6333,1.2667
baseline,FIFO,EVT000095,L0063,L0063_OP003,3,T02,8.0,12.4333,13.1,4.4333,0.6667
baseline,FIFO,EVT000096,L0015,L0015_OP003,3,T07,9.3333,12.8333,13.25,3.5,0.4167
baseline,FIFO,EVT000097,L0024,L0024_OP003,3,T01,10.3334,14.2667,14.5834,3.9333,0.3167
baseline,FIFO,EVT000098,L0005,L0005_OP002,2,T04,9.15,16.2833,17.75,7.1333,1.4667
baseline,FIFO,EVT000099,L0023,L0023_OP003,3,T13,17.9334,17.9334,18.3167,0.0,0.3833
baseline,FIFO,EVT000100,L0003,L0003_OP003,3,T00,12.05,18.6834,20.0667,6.6334,1.3833
baseline,FIFO,EVT000101,L0072,L0072_OP002,2,T10,22.5667,22.5667,22.8167,0.0,0.25
baseline,FIFO,EVT000102,L0079,L0079_OP001,1,T14,36.0,36.0,36.4333,0.0,0.4333
baseline,FIFO,EVT000103,L0044,L0044_OP004,4,T12,12.4333,34.3667,34.65,21.9334,0.2833
baseline,FIFO,EVT000104,L0029,L0029_OP002,2,T11,16.5333,35.0167,35.5,18.4834,0.4833
baseline,FIFO,EVT000105,L0011,L0011_OP004,4,T03,9.8167,9.8167,11.2167,0.0,1.4
baseline,FIFO,EVT000106,L0042,L0042_OP004,4,T05,11.0667,11.0667,11.2667,0.0,0.2
baseline,FIFO,EVT000107,L0047,L0047_OP001,1,T06,12.0,12.1,12.75,0.1,0.65
baseline,FIFO,EVT000108,L0013,L0013_OP004,4,T02,8.7001,13.1,13.5333,4.3999,0.4333
baseline,FIFO,EVT000109,L0024,L0024_OP004,4,T07,14.5834,14.5834,14.8167,0.0,0.2333
baseline,FIFO,EVT000110,L0045,L0045_OP005,5,T08,9.5833,13.3167,13.85,3.7334,0.5333
baseline,FIFO,EVT000111,L0007,L0007_OP002,2,T01,12.8333,14.5834,16.0167,1.7501,1.4333
baseline,FIFO,EVT000112,L0005,L0005_OP003,3,T09,17.75,17.75,19.1167,0.0,1.3667
baseline,FIFO,EVT000113,L0002,L0002_OP004,4,T04,9.8501,17.75,19.0,7.8999,1.25
baseline,FIFO,EVT000114,L0071,L0071_OP001,1,T13,20.0,20.0,20.4167,0.0,0.4167
baseline,FIFO,EVT000115,L0021,L0021_OP005,5,T00,16.0833,20.0667,20.4167,3.9834,0.35
baseline,FIFO,EVT000116,L0063,L0063_OP004,4,T10,13.1,22.8167,23.4,9.7167,0.5833
baseline,FIFO,EVT000117,L0065,L0065_OP003,3,T12,9.4,34.65,35.1667,25.25,0.5167
baseline,FIFO,EVT000118,L0067,L0067_OP003,3,T11,18.6834,35.5,36.05,16.8166,0.55
baseline,FIFO,EVT000119,L0016,L0016_OP001,1,T03,10.0,11.2167,12.6667,1.2167,1.45
baseline,FIFO,EVT000120,L0017,L0017_OP001,1,T05,12.0,12.0,13.35,0.0,1.35
baseline,FIFO,EVT000121,L0025,L0025_OP004,4,T06,13.25,13.25,13.7833,0.0,0.5333
baseline,FIFO,EVT000122,L0068,L0068_OP001,1,T02,14.0,14.0,14.2667,0.0,0.2667
baseline,FIFO,EVT000123,L0026,L0026_OP001,1,T08,10.0,13.85,14.25,3.85,0.4
baseline,FIFO,EVT000124,L0023,L0023_OP004,4,T07,18.3167,18.3167,18.85,0.0,0.5333
baseline,FIFO,EVT000125,L0050,L0050_OP001,1,T01,18.0,18.0,18.3,0.0,0.3
baseline,FIFO,EVT000126,L0061,L0061_OP004,4,T04,10.75,19.0,19.1833,8.25,0.1833
baseline,FIFO,EVT000127,L0013,L0013_OP005,5,T09,13.5333,19.1167,19.75,5.5834,0.6333
baseline,FIFO,EVT000128,L0053,L0053_OP002,2,T13,24.2667,24.2667,24.5334,0.0,0.2667
baseline,FIFO,EVT000129,L0020,L0020_OP001,1,T00,18.0,20.4167,20.9167,2.4167,0.5
baseline,FIFO,EVT000130,L0038,L0038_OP002,2,T10,34.3667,34.3667,34.6,0.0,0.2333
baseline,FIFO,EVT000131,L0024,L0024_OP005,5,T12,14.8167,35.1667,35.7167,20.35,0.55
baseline,FIFO,EVT000132,L0045,L0045_OP006,6,T11,13.85,36.05,36.4333,22.2,0.3833
baseline,FIFO,EVT000133,L0066,L0066_OP002,2,T03,10.55,12.6667,13.2167,2.1167,0.55
baseline,FIFO,EVT000134,L0001,L0001_OP004,4,T05,12.1,13.35,15.0,1.25,1.65
baseline,FIFO,EVT000135,L0008,L0008_OP002,2,T06,15.6333,15.6333,16.85,0.0,1.2167
baseline,FIFO,EVT000136,L0012,L0012_OP003,3,T08,10.7333,14.25,15.7833,3.5167,1.5333
baseline,FIFO,EVT000137,L0017,L0017_OP002,2,T02,13.35,14.2667,15.15,0.9167,0.8833
baseline,FIFO,EVT000138,L0030,L0030_OP002,2,T01,18.5833,18.5833,18.7666,0.0,0.1833
baseline,FIFO,EVT000139,L0025,L0025_OP005,5,T07,13.7833,18.85,19.1167,5.0667,0.2667
baseline,FIFO,EVT000140,L0011,L0011_OP005,5,T04,11.2167,19.1833,19.9666,7.9666,0.7833
baseline,FIFO,EVT000141,L0016,L0016_OP002,2,T09,12.6667,19.75,20.9667,7.0833,1.2167
baseline,FIFO,EVT000142,L0013,L0013_OP006,6,T00,19.75,20.9167,22.0667,1.1667,1.15
baseline,FIFO,EVT000143,L0043,L0043_OP004,4,T13,35.0167,35.0167,35.6834,0.0,0.6667
baseline,FIFO,EVT000144,L0068,L0068_OP002,2,T12,14.2667,35.7167,36.2667,21.45,0.55
baseline,FIFO,EVT000145,L0026,L0026_OP002,2,T11,14.25,36.4333,36.75,22.1833,0.3167
baseline,FIFO,EVT000146,L0027,L0027_OP002,2,T03,12.45,13.2167,13.7167,0.7667,0.5
baseline,FIFO,EVT000147,L0014,L0014_OP003,3,T05,13.3167,15.0,16.1333,1.6833,1.1333
baseline,FIFO,EVT000148,L0069,L0069_OP001,1,T02,16.0,16.0,16.2833,0.0,0.2833
baseline,FIFO,EVT000149,L0046,L0046_OP003,3,T08,11.0166,15.7833,15.9666,4.7667,0.1833
baseline,FIFO,EVT000150,L0066,L0066_OP003,3,T06,13.2167,16.85,17.1667,3.6333,0.3167
baseline,FIFO,EVT000151,L0001,L0001_OP005,5,T01,15.0,18.7666,19.8833,3.7666,1.1167
baseline,FIFO,EVT000152,L0017,L0017_OP003,3,T07,15.15,19.1167,20.0667,3.9667,0.95
baseline,FIFO,EVT000153,L0042,L0042_OP005,5,T04,11.2667,19.9666,20.3833,8.6999,0.4167
baseline,FIFO,EVT000154,L0012,L0012_OP004,4,T09,15.7833,20.9667,21.3334,5.1834,0.3667
baseline,FIFO,EVT000155,L0051,L0051_OP002,2,T00,20.3167,22.0667,22.4334,1.75,0.3667
baseline,FIFO,EVT000156,L0043,L0043_OP005,5,T10,35.6834,35.6834,36.2167,0.0,0.5333
baseline,FIFO,EVT000157,L0067,L0067_OP004,4,T12,36.05,36.2667,36.5667,0.2167,0.3
baseline,FIFO,EVT000158,L0026,L0026_OP003,3,T14,36.75,36.75,37.1,0.0,0.35
baseline,FIFO,EVT000159,L0065,L0065_OP004,4,T11,35.1667,36.75,37.2167,1.5833,0.4667
baseline,FIFO,EVT000160,L0015,L0015_OP004,4,T03,13.25,13.7167,14.7667,0.4667,1.05
baseline,FIFO,EVT000161,L0047,L0047_OP002,2,T08,12.75,15.9666,16.5999,3.2166,0.6333
baseline,FIFO,EVT000162,L0028,L0028_OP001,1,T05,14.0,16.1333,16.5833,2.1333,0.45
baseline,FIFO,EVT000163,L0023,L0023_OP005,5,T02,18.85,18.85,19.1833,0.0,0.3333
baseline,FIFO,EVT000164,L0027,L0027_OP003,3,T06,13.7167,17.1667,17.5167,3.45,0.35
baseline,FIFO,EVT000165,L0061,L0061_OP005,5,T01,19.1833,19.8833,20.0666,0.7,0.1833
baseline,FIFO,EVT000166,L0050,L0050_OP002,2,T07,18.3,20.0667,20.6834,1.7667,0.6167
baseline,FIFO,EVT000167,L0006,L0006_OP002,2,T04,11.65,20.3833,21.7333,8.7333,1.35
baseline,FIFO,EVT000168,L0014,L0014_OP004,4,T09,16.1333,21.3334,22.8001,5.2001,1.4667
baseline,FIFO,EVT000169,L0071,L0071_OP002,2,T00,20.4167,22.4334,22.8001,2.0167,0.3667
baseline,FIFO,EVT000170,L0051,L0051_OP003,3,T13,22.4334,35.6834,36.2834,13.25,0.6
baseline,FIFO,EVT000171,L0069,L0069_OP002,2,T10,16.2833,36.2167,36.4834,19.9334,0.2667
baseline,FIFO,EVT000172,L0066,L0066_OP004,4,T12,17.1667,36.5667,37.2334,19.4,0.6667
baseline,FIFO,EVT000173,L0046,L0046_OP004,4,T14,15.9666,37.1,37.55,21.1334,0.45
baseline,FIFO,EVT000174,L0059,L0059_OP001,1,T11,36.0,37.2167,37.4,1.2167,0.1833
baseline,FIFO,EVT000175,L0008,L0008_OP003,3,T03,16.85,16.85,18.2167,0.0,1.3667
baseline,FIFO,EVT000176,L0030,L0030_OP003,3,T05,18.7666,18.7666,19.4166,0.0,0.65
baseline,FIFO,EVT000177,L0049,L0049_OP001,1,T08,16.0,16.5999,16.9332,0.5999,0.3333
baseline,FIFO,EVT000178,L0019,L0019_OP002,2,T06,17.1333,17.5167,18.6167,0.3834,1.1
baseline,FIFO,EVT000179,L0002,L0002_OP005,5,T02,19.0,19.1833,20.75,0.1833,1.5667
baseline,FIFO,EVT000180,L0003,L0003_OP004,4,T01,20.0667,20.0667,21.15,0.0,1.0833
baseline,FIFO,EVT000181,L0078,L0078_OP001,1,T07,34.0,34.0,34.6,0.0,0.6
baseline,FIFO,EVT000182,L0018,L0018_OP001,1,T04,14.0,21.7333,22.0666,7.7333,0.3333
baseline,FIFO,EVT000183,L0035,L0035_OP001,1,T09,28.0,28.0,28.35,0.0,0.35
baseline,FIFO,EVT000184,L0047,L0047_OP003,3,T00,16.5999,22.8001,23.0501,6.2002,0.25
baseline,FIFO,EVT000185,L0066,L0066_OP005,5,T10,37.2334,37.2334,37.5501,0.0,0.3167
baseline,FIFO,EVT000186,L0079,L0079_OP002,2,T11,36.4333,37.4,37.9167,0.9667,0.5167
baseline,FIFO,EVT000187,L0061,L0061_OP006,6,T14,20.0666,37.55,38.1333,17.4834,0.5833
baseline,FIFO,EVT000188,L0064,L0064_OP004,4,T08,16.2833,16.9332,17.3165,0.6499,0.3833
baseline,FIFO,EVT000189,L0010,L0010_OP001,1,T03,18.0,18.2167,19.05,0.2167,0.8333
baseline,FIFO,EVT000190,L0049,L0049_OP002,2,T06,16.9332,18.6167,18.9,1.6835,0.2833
baseline,FIFO,EVT000191,L0019,L0019_OP003,3,T05,18.6167,19.4166,21.0499,0.7999,1.6333
baseline,FIFO,EVT000192,L0008,L0008_OP004,4,T02,18.2167,20.75,21.6,2.5333,0.85
baseline,FIFO,EVT000193,L0012,L0012_OP005,5,T01,21.3334,21.3334,22.8834,0.0,1.55
baseline,FIFO,EVT000194,L0004,L0004_OP004,4,T04,14.2667,22.0666,23.7166,7.7999,1.65
baseline,FIFO,EVT000195,L0032,L0032_OP001,1,T00,22.0,23.0501,23.4168,1.0501,0.3667
baseline,FIFO,EVT000196,L0036,L0036_OP001,1,T09,30.0,30.0,30.2167,0.0,0.2167
baseline,FIFO,EVT000197,L0061,L0061_OP007,7,T13,38.1333,38.1333,38.4666,0.0,0.3333
baseline,FIFO,EVT000198,L0047,L0047_OP004,4,T12,23.0501,37.2334,37.6834,14.1833,0.45
baseline,FIFO,EVT000199,L0030,L0030_OP004,4,T14,19.4166,38.1333,38.4333,18.7167,0.3
baseline,FIFO,EVT000200,L0027,L0027_OP004,4,T08,17.5167,17.5167,17.8334,0.0,0.3167
baseline,FIFO,EVT000201,L0009,L0009_OP002,2,T06,17.5667,18.9,20.0833,1.3333,1.1833
baseline,FIFO,EVT000202,L0062,L0062_OP004,4,T03,18.1501,19.05,19.4833,0.8999,0.4333
baseline,FIFO,EVT000203,L0049,L0049_OP003,3,T05,18.9,21.0499,21.4832,2.1499,0.4333
baseline,FIFO,EVT000204,L0001,L0001_OP006,6,T02,19.8833,21.6,23.0833,1.7167,1.4833
baseline,FIFO,EVT000205,L0008,L0008_OP005,5,T01,21.6,22.8834,24.0667,1.2834,1.1833
baseline,FIFO,EVT000206,L0064,L0064_OP005,5,T00,17.3165,23.4168,23.8001,6.1003,0.3833
baseline,FIFO,EVT000207,L0015,L0015_OP005,5,T04,14.7667,23.7166,25.0666,8.9499,1.35
baseline,FIFO,EVT000208,L0068,L0068_OP003,3,T09,36.2667,36.2667,36.8334,0.0,0.5667
baseline,FIFO,EVT000209,L0030,L0030_OP005,5,T07,38.4333,38.4333,38.8166,0.0,0.3833
baseline,FIFO,EVT000210,L0047,L0047_OP005,5,T10,37.6834,37.6834,38.0501,0.0,0.3667
baseline,FIFO,EVT000211,L0032,L0032_OP002,2,T11,23.4168,37.9167,38.3334,14.4999,0.4167
baseline,FIFO,EVT000212,L0050,L0050_OP003,3,T14,20.6834,38.4333,38.8833,17.7499,0.45
baseline,FIFO,EVT000213,L0005,L0005_OP004,4,T08,19.1167,19.1167,20.7,0.0,1.5833
baseline,FIFO,EVT000214,L0023,L0023_OP006,6,T03,19.1833,19.4833,19.6833,0.3,0.2
baseline,FIFO,EVT000215,L0062,L0062_OP005,5,T06,19.4833,20.0833,20.3166,0.6,0.2333
baseline,FIFO,EVT000216,L0025,L0025_OP006,6,T05,19.1167,21.4832,21.7832,2.3665,0.3
baseline,FIFO,EVT000217,L0059,L0059_OP002,2,T02,37.4,37.4,37.5833,0.0,0.1833
baseline,FIFO,EVT000218,L0010,L0010_OP002,2,T00,19.05,23.8001,24.7834,4.7501,0.9833
baseline,FIFO,EVT000219,L0053,L0053_OP003,3,T01,24.5334,24.5334,25.1501,0.0,0.6167
baseline,FIFO,EVT000220,L0007,L0007_OP003,3,T04,16.0167,25.0666,26.6833,9.0499,1.6167
baseline,FIFO,EVT000221,L0001,L0001_OP007,7,T09,23.0833,36.8334,38.1167,13.7501,1.2833
baseline,FIFO,EVT000222,L0027,L0027_OP005,5,T12,17.8334,37.6834,37.8834,19.85,0.2
baseline,FIFO,EVT000223,L0068,L0068_OP004,4,T11,36.8334,38.3334,38.8334,1.5,0.5
baseline,FIFO,EVT000224,L0035,L0035_OP002,2,T14,28.35,38.8833,39.45,10.5333,0.5667
baseline,FIFO,EVT000225,L0009,L0009_OP003,3,T03,20.0833,20.0833,21.4333,0.0,1.35
baseline,FIFO,EVT000226,L0011,L0011_OP006,6,T06,19.9666,20.3166,20.9499,0.35,0.6333
baseline,FIFO,EVT000227,L0002,L0002_OP006,6,T08,20.75,20.75,21.85,0.0,1.1
baseline,FIFO,EVT000228,L0031,L0031_OP002,2,T05,20.4667,21.7832,22.3999,1.3165,0.6167
baseline,FIFO,EVT000229,L0005,L0005_OP005,5,T00,20.7,24.7834,26.4334,4.0834,1.65
baseline,FIFO,EVT000230,L0010,L0010_OP003,3,T01,24.7834,25.1501,26.5168,0.3667,1.3667
baseline,FIFO,EVT000231,L0028,L0028_OP002,2,T04,16.5833,26.6833,27.0,10.1,0.3167
baseline,FIFO,EVT000232,L0060,L0060_OP001,1,T02,38.0,38.0,38.2,0.0,0.2
baseline,FIFO,EVT000233,L0023,L0023_OP007,7,T12,19.6833,37.8834,38.2001,18.2001,0.3167
baseline,FIFO,EVT000234,L0062,L0062_OP006,6,T09,20.3166,38.1167,38.4,17.8001,0.2833
baseline,FIFO,EVT000235,L0068,L0068_OP005,5,T13,38.8334,38.8334,39.5001,0.0,0.6667
baseline,FIFO,EVT000236,L0001,L0001_OP008,8,T07,38.1167,38.8166,40.4666,0.6999,1.65
baseline,FIFO,EVT000237,L0061,L0061_OP008,8,T11,38.4666,38.8334,39.1167,0.3668,0.2833
baseline,FIFO,EVT000238,L0036,L0036_OP002,2,T14,30.2167,39.45,40.1167,9.2333,0.6667
baseline,FIFO,EVT000239,L0017,L0017_OP004,4,T06,20.0667,20.9499,22.1332,0.8832,1.1833
baseline,FIFO,EVT000240,L0020,L0020_OP002,2,T03,20.9167,21.4333,22.2666,0.5166,0.8333
baseline,FIFO,EVT000241,L0019,L0019_OP004,4,T08,21.0499,21.85,23.2833,0.8001,1.4333
baseline,FIFO,EVT000242,L0016,L0016_OP003,3,T05,20.9667,22.3999,23.2499,1.4332,0.85
baseline,FIFO,EVT000243,L0002,L0002_OP007,7,T00,21.85,26.4334,27.9667,4.5834,1.5333
baseline,FIFO,EVT000244,L0077,L0077_OP001,1,T01,32.0,32.0,32.25,0.0,0.25
baseline,FIFO,EVT000245,L0070,L0070_OP001,1,T04,18.0,27.0,27.45,9.0,0.45
baseline,FIFO,EVT000246,L0023,L0023_OP008,8,T10,38.2001,38.2001,38.5834,0.0,0.3833
baseline,FIFO,EVT000247,L0011,L0011_OP007,7,T02,20.9499,38.2,39.5667,17.2501,1.3667
baseline,FIFO,EVT000248,L0031,L0031_OP003,3,T12,22.3999,38.2001,38.6834,15.8002,0.4833
baseline,FIFO,EVT000249,L0064,L0064_OP006,6,T09,23.8001,38.4,38.6333,14.5999,0.2333
baseline,FIFO,EVT000250,L0043,L0043_OP006,6,T14,36.2167,40.1167,40.3834,3.9,0.2667
baseline,FIFO,EVT000251,L0009,L0009_OP004,4,T07,21.4333,40.4666,41.8833,19.0333,1.4167
baseline,FIFO,EVT000252,L0042,L0042_OP006,6,T06,20.3833,22.1332,22.7665,1.7499,0.6333
