event_id,lot_id,operation_id,tool_id,queue_start_ts,start_ts,end_ts,queue_hours,run_hours,status
EVT000030,L0030,L0030_OP001,T12,2025-06-02 02:00:00,2025-06-02 02:00:00,2025-06-02 02:35:00,0.0,0.5833,completed
EVT000031,L0031,L0031_OP001,T10,2025-06-02 04:00:00,2025-06-02 04:00:00,2025-06-02 04:28:00,0.0,0.4667,completed
EVT000032,L0032,L0032_OP001,T00,2025-06-02 06:00:00,2025-06-02 06:00:00,2025-06-02 06:22:00,0.0,0.3667,completed
EVT000033,L0033,L0033_OP001,T12,2025-06-02 08:00:00,2025-06-02 08:00:00,2025-06-02 08:39:00,0.0,0.65,completed
EVT000034,L0034,L0034_OP001,T08,2025-06-02 10:00:00,2025-06-02 10:00:00,2025-06-02 10:28:00,0.0,0.4667,completed
EVT000035,L0035,L0035_OP001,T09,2025-06-02 12:00:00,2025-06-02 12:00:00,2025-06-02 12:21:00,0.0,0.35,completed
EVT000036,L0036,L0036_OP001,T09,2025-06-02 14:00:00,2025-06-02 14:00:00,2025-06-02 14:13:00,0.0,0.2167,completed
EVT000037,L0037,L0037_OP001,T03,2025-06-02 16:00:00,2025-06-02 16:00:00,2025-06-02 16:25:00,0.0,0.4167,completed
EVT000038,L0038,L0038_OP001,T12,2025-06-02 18:00:00,2025-06-02 18:00:00,2025-06-02 18:22:00,0.0,0.3667,completed
EVT000039,L0039,L0039_OP001,T05,2025-06-02 20:00:00,2025-06-02 20:00:00,2025-06-02 20:18:00,0.0,0.3,completed
EVT000040,L0040,L0040_OP001,T09,2025-06-02 22:00:00,2025-06-02 22:00:00,2025-06-02 22:31:00,0.0,0.5167,completed
EVT000041,L0041,L0041_OP001,T00,2025-06-01 08:00:00,2025-06-02 06:22:00,2025-06-02 06:41:00,22.3667,0.3167,completed
EVT000042,L0042,L0042_OP001,T09,2025-06-01 10:00:00,2025-06-02 22:31:00,2025-06-02 22:42:00,36.5167,0.1833,completed
EVT000043,L0043,L0043_OP001,T03,2025-06-01 12:00:00,2025-06-02 16:25:00,2025-06-02 16:50:00,28.4167,0.4167,completed
EVT000044,L0044,L0044_OP001,T14,2025-06-01 14:00:00,2025-06-01 14:00:00,2025-06-01 14:22:00,0.0,0.3667,completed
EVT000045,L0045,L0045_OP001,T12,2025-06-01 16:00:00,2025-06-02 18:22:00,2025-06-02 18:54:00,26.3667,0.5333,completed
EVT000046,L0046,L0046_OP001,T10,2025-06-01 18:00:00,2025-06-02 04:28:00,2025-06-02 04:51:00,10.4667,0.3833,completed
EVT000047,L0047,L0047_OP001,T06,2025-06-01 20:00:00,2025-06-01 20:00:00,2025-06-01 20:39:00,0.0,0.65,completed
EVT000048,L0048,L0048_OP001,T11,2025-06-01 22:00:00,2025-06-01 22:00:00,2025-06-01 22:11:00,0.0,0.1833,completed
EVT000049,L0049,L0049_OP001,T08,2025-06-02 00:00:00,2025-06-02 10:28:00,2025-06-02 10:48:00,10.4667,0.3333,completed
EVT000050,L0050,L0050_OP001,T01,2025-06-02 02:00:00,2025-06-02 02:00:00,2025-06-02 02:18:00,0.0,0.3,completed
EVT000051,L0051,L0051_OP001,T11,2025-06-02 04:00:00,2025-06-02 04:00:00,2025-06-02 04:19:00,0.0,0.3167,completed
EVT000052,L0052,L0052_OP001,T06,2025-06-02 06:00:00,2025-06-02 06:00:00,2025-06-02 06:32:00,0.0,0.5333,completed
EVT000053,L0053,L0053_OP001,T14,2025-06-02 08:00:00,2025-06-02 08:00:00,2025-06-02 08:16:00,0.0,0.2667,completed
EVT000054,L0054,L0054_OP001,T08,2025-06-02 10:00:00,2025-06-02 10:48:00,2025-06-02 11:08:00,0.8,0.3333,completed
EVT000055,L0055,L0055_OP001,T08,2025-06-02 12:00:00,2025-06-02 12:00:00,2025-06-02 12:31:00,0.0,0.5167,completed
EVT000056,L0056,L0056_OP001,T08,2025-06-02 14:00:00,2025-06-02 14:00:00,2025-06-02 14:38:00,0.0,0.6333,completed
EVT000057,L0057,L0057_OP001,T14,2025-06-02 16:00:00,2025-06-02 16:00:00,2025-06-02 16:20:00,0.0,0.3333,completed
EVT000058,L0058,L0058_OP001,T11,2025-06-02 18:00:00,2025-06-02 18:00:00,2025-06-02 18:18:00,0.0,0.3,completed
EVT000059,L0059,L0059_OP001,T11,2025-06-02 20:00:00,2025-06-02 20:00:00,2025-06-02 20:11:00,0.0,0.1833,completed
EVT000060,L0060,L0060_OP001,T02,2025-06-02 22:00:00,2025-06-02 22:00:00,2025-06-02 22:12:00,0.0,0.2,completed
EVT000061,L0061,L0061_OP001,T06,2025-06-01 08:00:00,2025-06-02 06:32:00,2025-06-02 06:46:00,22.5333,0.2333,completed
EVT000062,L0062,L0062_OP001,T01,2025-06-01 10:00:00,2025-06-02 02:18:00,2025-06-02 02:53:00,16.3,0.5833,completed
EVT000063,L0063,L0063_OP001,T00,2025-06-01 12:00:00,2025-06-02 06:41:00,2025-06-02 07:11:00,18.6833,0.5,completed
EVT000064,L0064,L0064_OP001,T07,2025-06-01 14:00:00,2025-06-01 21:52:00,2025-06-01 22:32:00,7.8667,0.6667,completed
EVT000065,L0065,L0065_OP001,T02,2025-06-01 16:00:00,2025-06-02 22:12:00,2025-06-02 22:47:00,30.2,0.5833,completed
EVT000066,L0066,L0066_OP001,T05,2025-06-01 18:00:00,2025-06-02 20:18:00,2025-06-02 20:51:00,26.3,0.55,completed
EVT000067,L0067,L0067_OP001,T13,2025-06-01 20:00:00,2025-06-02 00:32:00,2025-06-02 00:57:00,4.5333,0.4167,completed
EVT000068,L0068,L0068_OP001,T02,2025-06-01 22:00:00,2025-06-02 22:47:00,2025-06-02 23:03:00,24.7833,0.2667,completed
EVT000069,L0069,L0069_OP001,T02,2025-06-02 00:00:00,2025-06-02 23:03:00,2025-06-02 23:20:00,23.05,0.2833,completed
EVT000070,L0070,L0070_OP001,T04,2025-06-02 02:00:00,2025-06-02 02:00:00,2025-06-02 02:27:00,0.0,0.45,completed
EVT000071,L0071,L0071_OP001,T13,2025-06-02 04:00:00,2025-06-02 04:00:00,2025-06-02 04:25:00,0.0,0.4167,completed
EVT000072,L0072,L0072_OP001,T14,2025-06-02 06:00:00,2025-06-02 16:20:00,2025-06-02 16:54:00,10.3333,0.5667,completed
EVT000073,L0073,L0073_OP001,T06,2025-06-02 08:00:00,2025-06-02 08:00:00,2025-06-02 08:12:00,0.0,0.2,completed
EVT000074,L0074,L0074_OP001,T05,2025-06-02 10:00:00,2025-06-02 20:51:00,2025-06-02 21:13:00,10.85,0.3667,completed
EVT000075,L0075,L0075_OP001,T05,2025-06-02 12:00:00,2025-06-02 21:13:00,2025-06-02 21:40:00,9.2167,0.45,completed
EVT000076,L0076,L0076_OP001,T08,2025-06-02 14:00:00,2025-06-02 14:38:00,2025-06-02 14:53:00,0.6333,0.25,completed
EVT000077,L0077,L0077_OP001,T01,2025-06-02 16:00:00,2025-06-02 16:00:00,2025-06-02 16:15:00,0.0,0.25,completed
EVT000078,L0078,L0078_OP001,T07,2025-06-02 18:00:00,2025-06-02 18:00:00,2025-06-02 18:36:00,0.0,0.6,completed
EVT000079,L0079,L0079_OP001,T14,2025-06-02 20:00:00,2025-06-02 20:00:00,2025-06-02 20:26:00,0.0,0.4333,completed
EVT000080,L0080,L0080_OP001,T01,2025-06-02 22:00:00,2025-06-02 22:00:00,2025-06-02 22:36:00,0.0,0.6,completed
EVT000081,L0001,L0001_OP002,T08,2025-06-01 09:28:00,2025-06-02 14:53:00,2025-06-02 16:01:00,29.4167,1.1333,completed
EVT000082,L0002,L0002_OP002,T03,2025-06-01 11:12:00,2025-06-02 16:50:00,2025-06-02 17:40:00,29.6333,0.8333,completed
EVT000083,L0003,L0003_OP002,T08,2025-06-01 13:23:00,2025-06-02 16:01:00,2025-06-02 17:02:00,26.6333,1.0167,completed
EVT000084,L0004,L0004_OP002,T02,2025-06-01 15:34:00,2025-06-02 23:20:00,2025-06-03 00:28:00,31.7667,1.1333,completed
EVT000085,L0005,L0005_OP002,T04,2025-06-01 17:09:00,2025-06-02 02:27:00,2025-06-02 03:55:00,9.3,1.4667,completed
EVT000086,L0006,L0006_OP002,T04,2025-06-01 19:39:00,2025-06-02 03:55:00,2025-06-02 05:16:00,8.2667,1.35,completed
EVT000087,L0007,L0007_OP002,T01,2025-06-01 20:50:00,2025-06-02 22:36:00,2025-06-03 00:02:00,25.7667,1.4333,completed
EVT000088,L0008,L0008_OP002,T06,2025-06-01 23:38:00,2025-06-02 08:12:00,2025-06-02 09:25:00,8.5667,1.2167,completed
EVT000089,L0009,L0009_OP002,T06,2025-06-02 01:34:00,2025-06-02 09:25:00,2025-06-02 10:36:00,7.85,1.1833,completed
EVT000090,L0010,L0010_OP002,T00,2025-06-02 02:50:00,2025-06-02 07:11:00,2025-06-02 08:10:00,4.35,0.9833,completed
EVT000091,L0011,L0011_OP002,T08,2025-06-01 21:52:00,2025-06-02 17:02:00,2025-06-02 17:26:00,19.1667,0.4,completed
EVT000092,L0012,L0012_OP002,T02,2025-06-01 11:59:00,2025-06-03 00:28:00,2025-06-03 02:05:00,36.4833,1.6167,completed
EVT000093,L0013,L0013_OP002,T07,2025-06-01 20:24:00,2025-06-02 18:36:00,2025-06-02 19:22:00,22.2,0.7667,completed
EVT000094,L0014,L0014_OP002,T08,2025-06-02 01:03:00,2025-06-02 17:26:00,2025-06-02 18:42:00,16.3833,1.2667,completed
EVT000095,L0015,L0015_OP002,T09,2025-06-01 17:00:00,2025-06-02 22:42:00,2025-06-02 23:02:00,29.7,0.3333,completed
EVT000096,L0016,L0016_OP002,T09,2025-06-02 04:17:00,2025-06-02 23:02:00,2025-06-03 00:15:00,18.75,1.2167,completed
EVT000097,L0017,L0017_OP002,T02,2025-06-01 21:21:00,2025-06-03 02:05:00,2025-06-03 02:58:00,28.7333,0.8833,completed
EVT000098,L0018,L0018_OP002,T06,2025-06-02 01:23:00,2025-06-02 10:36:00,2025-06-02 12:02:00,9.2167,1.4333,completed
EVT000099,L0019,L0019_OP002,T06,2025-06-02 01:08:00,2025-06-02 12:02:00,2025-06-02 13:08:00,10.9,1.1,completed
EVT000100,L0020,L0020_OP002,T03,2025-06-02 02:30:00,2025-06-02 17:40:00,2025-06-02 18:30:00,15.1667,0.8333,completed
EVT000101,L0021,L0021_OP002,T03,2025-06-01 08:24:00,2025-06-02 18:30:00,2025-06-02 18:42:00,34.1,0.2,completed
EVT000102,L0022,L0022_OP002,T03,2025-06-01 10:30:00,2025-06-02 18:42:00,2025-06-02 18:57:00,32.2,0.25,completed
EVT000103,L0023,L0023_OP002,T00,2025-06-01 12:35:00,2025-06-02 08:10:00,2025-06-02 08:32:00,19.5833,0.3667,completed
EVT000104,L0024,L0024_OP002,T06,2025-06-02 01:28:00,2025-06-02 13:08:00,2025-06-02 13:37:00,11.6667,0.4833,completed
EVT000105,L0025,L0025_OP002,T13,2025-06-01 16:23:00,2025-06-02 04:25:00,2025-06-02 04:45:00,12.0333,0.3333,completed
EVT000106,L0026,L0026_OP002,T11,2025-06-01 18:24:00,2025-06-02 20:11:00,2025-06-02 20:30:00,25.7833,0.3167,completed
EVT000107,L0027,L0027_OP002,T03,2025-06-01 20:27:00,2025-06-02 18:57:00,2025-06-02 19:27:00,22.5,0.5,completed
EVT000108,L0028,L0028_OP002,T04,2025-06-01 22:27:00,2025-06-02 05:16:00,2025-06-02 05:35:00,6.8167,0.3167,completed
EVT000109,L0029,L0029_OP002,T11,2025-06-02 00:32:00,2025-06-02 20:30:00,2025-06-02 20:59:00,19.9667,0.4833,completed
EVT000110,L0030,L0030_OP002,T01,2025-06-02 02:35:00,2025-06-03 00:02:00,2025-06-03 00:13:00,21.45,0.1833,completed
EVT000111,L0031,L0031_OP002,T05,2025-06-02 04:28:00,2025-06-02 21:40:00,2025-06-02 22:17:00,17.2,0.6167,completed
EVT000112,L0032,L0032_OP002,T11,2025-06-02 06:22:00,2025-06-02 20:59:00,2025-06-02 21:24:00,14.6167,0.4167,completed
EVT000113,L0033,L0033_OP002,T05,2025-06-02 08:39:00,2025-06-02 22:17:00,2025-06-02 22:49:00,13.6333,0.5333,completed
EVT000114,L0034,L0034_OP002,T01,2025-06-02 10:28:00,2025-06-03 00:13:00,2025-06-03 00:42:00,13.75,0.4833,completed
EVT000115,L0035,L0035_OP002,T14,2025-06-02 12:21:00,2025-06-02 20:26:00,2025-06-02 21:00:00,8.0833,0.5667,completed
EVT000116,L0036,L0036_OP002,T14,2025-06-02 14:13:00,2025-06-02 21:00:00,2025-06-02 21:40:00,6.7833,0.6667,completed
EVT000117,L0037,L0037_OP002,T05,2025-06-02 16:25:00,2025-06-02 22:49:00,2025-06-02 23:04:00,6.4,0.25,completed
EVT000118,L0038,L0038_OP002,T10,2025-06-02 18:22:00,2025-06-02 18:22:00,2025-06-02 18:36:00,0.0,0.2333,completed
EVT000119,L0039,L0039_OP002,T10,2025-06-02 20:18:00,2025-06-02 20:18:00,2025-06-02 20:48:00,0.0,0.5,completed
EVT000120,L0040,L0040_OP002,T08,2025-06-02 22:31:00,2025-06-02 22:31:00,2025-06-02 23:10:00,0.0,0.65,completed
EVT000121,L0041,L0041_OP002,T09,2025-06-02 06:41:00,2025-06-03 00:15:00,2025-06-03 00:48:00,17.5667,0.55,completed
EVT000122,L0042,L0042_OP002,T10,2025-06-02 22:42:00,2025-06-02 22:42:00,2025-06-02 23:04:00,0.0,0.3667,completed
EVT000123,L0043,L0043_OP002,T08,2025-06-02 16:50:00,2025-06-02 23:10:00,2025-06-02 23:27:00,6.3333,0.2833,completed
EVT000124,L0044,L0044_OP002,T03,2025-06-01 14:22:00,2025-06-02 19:27:00,2025-06-02 20:03:00,29.0833,0.6,completed
EVT000125,L0045,L0045_OP002,T14,2025-06-02 18:54:00,2025-06-02 21:40:00,2025-06-02 21:55:00,2.7667,0.25,completed
EVT000126,L0046,L0046_OP002,T12,2025-06-02 04:51:00,2025-06-02 18:54:00,2025-06-02 19:32:00,14.05,0.6333,completed
EVT000127,L0047,L0047_OP002,T08,2025-06-01 20:39:00,2025-06-02 23:27:00,2025-06-03 00:05:00,26.8,0.6333,completed
EVT000128,L0048,L0048_OP002,T13,2025-06-01 22:11:00,2025-06-02 04:45:00,2025-06-02 05:09:00,6.5667,0.4,completed
EVT000129,L0049,L0049_OP002,T06,2025-06-02 10:48:00,2025-06-02 13:37:00,2025-06-02 13:54:00,2.8167,0.2833,completed
EVT000130,L0050,L0050_OP002,T07,2025-06-02 02:18:00,2025-06-02 19:22:00,2025-06-02 19:59:00,17.0667,0.6167,completed
EVT000131,L0051,L0051_OP002,T00,2025-06-02 04:19:00,2025-06-02 08:32:00,2025-06-02 08:54:00,4.2167,0.3667,completed
EVT000132,L0052,L0052_OP002,T03,2025-06-02 06:32:00,2025-06-02 20:03:00,2025-06-02 20:25:00,13.5167,0.3667,completed
EVT000133,L0053,L0053_OP002,T13,2025-06-02 08:16:00,2025-06-02 08:16:00,2025-06-02 08:32:00,0.0,0.2667,completed
EVT000134,L0054,L0054_OP002,T10,2025-06-02 11:08:00,2025-06-02 23:04:00,2025-06-02 23:28:00,11.9333,0.4,completed
EVT000135,L0055,L0055_OP002,T00,2025-06-02 12:31:00,2025-06-02 12:31:00,2025-06-02 12:48:00,0.0,0.2833,completed
EVT000136,L0056,L0056_OP002,T12,2025-06-02 14:38:00,2025-06-02 19:32:00,2025-06-02 19:49:00,4.9,0.2833,completed
EVT000137,L0057,L0057_OP002,T03,2025-06-02 16:20:00,2025-06-02 20:25:00,2025-06-02 20:41:00,4.0833,0.2667,completed
EVT000138,L0058,L0058_OP002,T03,2025-06-02 18:18:00,2025-06-02 20:41:00,2025-06-02 21:18:00,2.3833,0.6167,completed
EVT000139,L0059,L0059_OP002,T02,2025-06-02 20:11:00,2025-06-03 02:58:00,2025-06-03 03:09:00,6.7833,0.1833,completed
EVT000140,L0060,L0060_OP002,T12,2025-06-02 22:12:00,2025-06-02 22:12:00,2025-06-02 22:37:00,0.0,0.4167,completed
EVT000141,L0061,L0061_OP002,T05,2025-06-02 06:46:00,2025-06-02 23:04:00,2025-06-02 23:25:00,16.3,0.35,completed
EVT000142,L0062,L0062_OP002,T05,2025-06-02 02:53:00,2025-06-02 23:25:00,2025-06-02 23:56:00,20.5333,0.5167,completed
EVT000143,L0063,L0063_OP002,T04,2025-06-02 07:11:00,2025-06-02 07:11:00,2025-06-02 07:46:00,0.0,0.5833,completed
EVT000144,L0064,L0064_OP002,T05,2025-06-01 22:32:00,2025-06-02 23:56:00,2025-06-03 00:14:00,25.4,0.3,completed
EVT000145,L0065,L0065_OP002,T03,2025-06-02 22:47:00,2025-06-02 22:47:00,2025-06-02 23:02:00,0.0,0.25,completed
EVT000146,L0066,L0066_OP002,T03,2025-06-02 20:51:00,2025-06-02 23:02:00,2025-06-02 23:35:00,2.1833,0.55,completed
EVT000147,L0067,L0067_OP002,T00,2025-06-02 00:57:00,2025-06-02 12:48:00,2025-06-02 13:20:00,11.85,0.5333,completed
EVT000148,L0068,L0068_OP002,T12,2025-06-02 23:03:00,2025-06-02 23:03:00,2025-06-02 23:36:00,0.0,0.55,completed
EVT000149,L0069,L0069_OP002,T10,2025-06-02 23:20:00,2025-06-02 23:28:00,2025-06-02 23:44:00,0.1333,0.2667,completed
EVT000150,L0070,L0070_OP002,T09,2025-06-02 02:27:00,2025-06-03 00:48:00,2025-06-03 01:25:00,22.35,0.6167,completed
EVT000151,L0071,L0071_OP002,T00,2025-06-02 04:25:00,2025-06-02 13:20:00,2025-06-02 13:42:00,8.9167,0.3667,completed
EVT000152,L0072,L0072_OP002,T10,2025-06-02 16:54:00,2025-06-02 23:44:00,2025-06-02 23:59:00,6.8333,0.25,completed
EVT000153,L0073,L0073_OP002,T12,2025-06-02 08:12:00,2025-06-02 23:36:00,2025-06-03 00:03:00,15.4,0.45,completed
EVT000154,L0074,L0074_OP002,T14,2025-06-02 21:13:00,2025-06-02 21:55:00,2025-06-02 22:10:00,0.7,0.25,completed
EVT000155,L0075,L0075_OP002,T03,2025-06-02 21:40:00,2025-06-02 23:35:00,2025-06-03 00:01:00,1.9167,0.4333,completed
EVT000156,L0076,L0076_OP002,T05,2025-06-02 14:53:00,2025-06-03 00:14:00,2025-06-03 00:42:00,9.35,0.4667,completed
EVT000157,L0077,L0077_OP002,T04,2025-06-02 16:15:00,2025-06-02 16:15:00,2025-06-02 16:28:00,0.0,0.2167,completed
EVT000158,L0078,L0078_OP002,T05,2025-06-02 18:36:00,2025-06-03 00:42:00,2025-06-03 01:15:00,6.1,0.55,completed
EVT000159,L0079,L0079_OP002,T11,2025-06-02 20:26:00,2025-06-02 21:24:00,2025-06-02 21:55:00,0.9667,0.5167,completed
EVT000160,L0080,L0080_OP002,T07,2025-06-02 22:36:00,2025-06-02 22:36:00,2025-06-02 23:10:00,0.0,0.5667,completed
EVT000161,L0001,L0001_OP003,T06,2025-06-02 16:01:00,2025-06-02 16:01:00,2025-06-02 17:35:00,0.0,1.5667,completed
EVT000162,L0002,L0002_OP003,T06,2025-06-02 17:40:00,2025-06-02 17:40:00,2025-06-02 18:49:00,0.0,1.15,completed
EVT000163,L0003,L0003_OP003,T00,2025-06-02 17:02:00,2025-06-02 17:02:00,2025-06-02 18:25:00,0.0,1.3833,completed
EVT000164,L0004,L0004_OP003,T01,2025-06-03 00:28:00,2025-06-03 00:42:00,2025-06-03 01:43:00,0.2333,1.0167,completed
EVT000165,L0005,L0005_OP003,T09,2025-06-02 03:55:00,2025-06-03 01:25:00,2025-06-03 02:47:00,21.5,1.3667,completed
EVT000166,L0006,L0006_OP003,T05,2025-06-02 05:16:00,2025-06-03 01:15:00,2025-06-03 02:19:00,19.9833,1.0667,completed
EVT000167,L0007,L0007_OP003,T04,2025-06-03 00:02:00,2025-06-03 00:02:00,2025-06-03 01:39:00,0.0,1.6167,completed
EVT000168,L0008,L0008_OP003,T03,2025-06-02 09:25:00,2025-06-03 00:01:00,2025-06-03 01:23:00,14.6,1.3667,completed
EVT000169,L0009,L0009_OP003,T03,2025-06-02 10:36:00,2025-06-03 01:23:00,2025-06-03 02:44:00,14.7833,1.35,completed
EVT000170,L0010,L0010_OP003,T01,2025-06-02 08:10:00,2025-06-03 01:43:00,2025-06-03 03:05:00,17.55,1.3667,completed
EVT000171,L0011,L0011_OP003,T05,2025-06-02 17:26:00,2025-06-03 02:19:00,2025-06-03 02:44:00,8.8833,0.4167,completed
EVT000172,L0012,L0012_OP003,T08,2025-06-03 02:05:00,2025-06-03 02:05:00,2025-06-03 03:37:00,0.0,1.5333,completed
EVT000173,L0013,L0013_OP003,T06,2025-06-02 19:22:00,2025-06-02 19:22:00,2025-06-02 19:44:00,0.0,0.3667,completed
EVT000174,L0014,L0014_OP003,T05,2025-06-02 18:42:00,2025-06-03 02:44:00,2025-06-03 03:52:00,8.0333,1.1333,completed
EVT000175,L0015,L0015_OP003,T07,2025-06-02 23:02:00,2025-06-02 23:10:00,2025-06-02 23:35:00,0.1333,0.4167,completed
EVT000176,L0016,L0016_OP003,T05,2025-06-03 00:15:00,2025-06-03 03:52:00,2025-06-03 04:43:00,3.6167,0.85,completed
EVT000177,L0017,L0017_OP003,T07,2025-06-03 02:58:00,2025-06-03 02:58:00,2025-06-03 03:55:00,0.0,0.95,completed
EVT000178,L0018,L0018_OP003,T05,2025-06-02 12:02:00,2025-06-03 04:43:00,2025-06-03 05:04:00,16.6833,0.35,completed
EVT000179,L0019,L0019_OP003,T05,2025-06-02 13:08:00,2025-06-03 05:04:00,2025-06-03 06:42:00,15.9333,1.6333,completed
EVT000180,L0020,L0020_OP003,T07,2025-06-02 18:30:00,2025-06-03 03:55:00,2025-06-03 04:29:00,9.4167,0.5667,completed
EVT000181,L0021,L0021_OP003,T09,2025-06-02 18:42:00,2025-06-03 02:47:00,2025-06-03 03:04:00,8.0833,0.2833,completed
EVT000182,L0022,L0022_OP003,T12,2025-06-02 18:57:00,2025-06-03 00:03:00,2025-06-03 00:23:00,5.1,0.3333,completed
EVT000183,L0023,L0023_OP003,T13,2025-06-02 08:32:00,2025-06-02 08:32:00,2025-06-02 08:55:00,0.0,0.3833,completed
EVT000184,L0024,L0024_OP003,T01,2025-06-02 13:37:00,2025-06-03 03:05:00,2025-06-03 03:24:00,13.4667,0.3167,completed
EVT000185,L0025,L0025_OP003,T01,2025-06-02 04:45:00,2025-06-03 03:24:00,2025-06-03 03:52:00,22.65,0.4667,completed
EVT000186,L0026,L0026_OP003,T14,2025-06-02 20:30:00,2025-06-02 22:10:00,2025-06-02 22:31:00,1.6667,0.35,completed
EVT000187,L0027,L0027_OP003,T06,2025-06-02 19:27:00,2025-06-02 19:44:00,2025-06-02 20:05:00,0.2833,0.35,completed
EVT000188,L0028,L0028_OP003,T06,2025-06-02 05:35:00,2025-06-02 20:05:00,2025-06-02 20:34:00,14.5,0.4833,completed
EVT000189,L0029,L0029_OP003,T08,2025-06-02 20:59:00,2025-06-03 03:37:00,2025-06-03 04:01:00,6.6333,0.4,completed
EVT000190,L0030,L0030_OP003,T05,2025-06-03 00:13:00,2025-06-03 06:42:00,2025-06-03 07:21:00,6.4833,0.65,completed
EVT000191,L0031,L0031_OP003,T12,2025-06-02 22:17:00,2025-06-03 00:23:00,2025-06-03 00:52:00,2.1,0.4833,completed
EVT000192,L0032,L0032_OP003,T05,2025-06-02 21:24:00,2025-06-03 07:21:00,2025-06-03 07:49:00,9.95,0.4667,completed
